name
Christian Dahle Borchgrevink
Hugo Vegard Vetlesen
Markus Olsen Pettersen
Felix Horn Myhre
Tobias Borchgrevink Børkeeiet
Erling Braut Haaland
Filip Møller Delaveris
Ola Brynhildsen
Julian Rekdahl Faye Lund
Jens Petter Hauge
Tomas Olai Totland
Håkon Evjen
Emil Gundelach Ødegaard
Kristian Thorstvedt
Leo Skiri Østigård
Tord Johnsen Salte
Erik-Johannes Thorsbye Arnebrott
Tobias Hammer Svendsen
Fabian Østigård Ness
Adnan Hadzic
Tobias Christensen
Look Saa Nicholas Kengkhetkid Mickelson
Emil Bohinen
John Shuguto Kitolano
Ulrik Tillung Fredriksen
Eman Markovic
Lars Mogstad Ranger
Martin Tangen Vinjor
